-.Pregunta 1.1.-
[00:01:58.080 --> 00:02:00.080]   Una granja d'engreix.
[00:05:15.080 --> 00:05:17.080]   l’engreix és una mica...
[00:05:17.080 --> 00:05:21.080]   Normal, la transició sí que és la ventilació, l'alimentació,
[00:05:21.080 --> 00:05:23.080]   hi ha càmeres per mirar els...
[00:05:23.080 --> 00:05:25.080]   Fent proves hi ha càmeres per mirar-ho tot,
[00:05:25.080 --> 00:05:27.080]   hi ha aplicacions i es pot mirar pel mòbil.
[00:05:33.080 --> 00:05:34.080]   A l’engreix és...
[00:05:34.080 --> 00:05:39.080]   Ara canviarem la ventilació i es podrà fer...
[00:05:39.080 --> 00:05:44.080]   Bé, el podrem obrir i tancar via mòbil.
[00:05:44.080 --> 00:05:46.080]   Perquè llavors et dirà la temperatura,
[00:05:46.080 --> 00:05:48.080]   llavors pots fer-ho tu mateix, pots aprendre un botó
[00:05:48.080 --> 00:05:50.080]   i puja i baixa la finestra.
[00:05:50.080 --> 00:05:52.080]   Però ara és manual, has de programar-ho,
[00:05:52.080 --> 00:05:54.080]   i quan vas a la temperatura són automàtiques,
[00:05:54.080 --> 00:05:56.080]   però has d'anar a programar allà.
[00:05:56.080 --> 00:05:58.080]   Això no són amb cable, com si diguéssim, no tenen...
[00:05:58.080 --> 00:05:59.080]   No tens compte.
[00:05:59.080 --> 00:06:00.080]   S'ha de fer el procés processat.
[00:06:00.080 --> 00:06:01.080]   Sí, sí, puja i baixa, sí.
[00:06:01.080 --> 00:06:03.080]   I l'alimentació igual, és automàtica,
[00:06:03.080 --> 00:06:05.080]   però has d'anar allà, ho has de programar.
[00:06:05.080 --> 00:06:07.080]   De moment això no canviarem.
-.Pregunta 2.3a.-
[00:06:12.080 --> 00:06:14.080]   Cada cop més, sí.
[00:06:14.080 --> 00:06:16.080]   Perquè, bueno...
[00:06:16.080 --> 00:06:23.080]   O sigui, això és un sector que va molt...
[00:06:23.080 --> 00:06:25.080]   que treballa en marges,
[00:06:25.080 --> 00:06:29.080]   o sigui, reduir un cèntim el cost del quilo de carn
[00:06:29.080 --> 00:06:31.080]   és un gran què i costa.
[00:06:31.080 --> 00:06:33.080]   Per exemple, ara que hi ha hagut aquest...
[00:06:33.080 --> 00:06:35.080]   Bé, amb tota la guerra d'Ucraïna
[00:06:35.080 --> 00:06:38.080]   s'acaben pujant els costos del pinso.
[00:06:38.080 --> 00:06:41.080]   Controlar l'alimentació és un tema...
[00:06:41.080 --> 00:06:45.080]   és un tema bàsic per controlar costos de les granges.
[00:06:45.080 --> 00:06:47.080]   O sigui, l'altre tema d'alimentacions controlades
[00:06:47.080 --> 00:06:50.080]   que puguis parar alimentació,
[00:06:50.080 --> 00:06:53.080]   que puguis saber com menja cada animal,
[00:06:53.080 --> 00:06:57.080]   que puguis saber els quilos que has gastat a temps real.
[00:06:57.080 --> 00:07:01.080]   Per exemple, amb les mares que quan estan...
[00:07:01.080 --> 00:07:03.080]   Ara perdona't allò, però ara en el de mares...
[00:07:03.080 --> 00:07:05.080]   Per exemple, és molt important controlar l'alimentació de les mares
[00:07:05.080 --> 00:07:07.080]   quan acaben de parir, que estiguin ben alimentades,
[00:07:07.080 --> 00:07:08.080]   que puguis...
[00:07:08.080 --> 00:07:10.080]   Tot això és vital controlar-ho
[00:07:10.080 --> 00:07:12.080]   i això t'ho donen els alimentadors automàtics
[00:07:12.080 --> 00:07:13.080]   que van a través d'aplicacions,
[00:07:13.080 --> 00:07:16.080]   que saps en març quasi què menja cada una.
[00:07:16.080 --> 00:07:18.080]   A l'engreixa s'hi pot muntar què menja cada...
[00:07:18.080 --> 00:07:21.080]   Per corrals ho tenim mirat per muntar nosaltres.
[00:07:21.080 --> 00:07:23.080]   Idees que tenim, no?
[00:07:23.080 --> 00:07:25.080]   Però controlar l'alimentació, que mengin bé,
[00:07:25.080 --> 00:07:28.080]   que no es malgasti pinso, que no es malgasti aigua,
[00:07:28.080 --> 00:07:31.080]   tot això és bàsic per controlar costos,
[00:07:31.080 --> 00:07:34.080]   inclús temes mediambientals, no malgastar aigua,
[00:07:34.080 --> 00:07:36.080]   tema de purins que no s'omplin les bases
[00:07:36.080 --> 00:07:39.080]   perquè ara a l'estiu gasten aigua que amanta,
[00:07:39.080 --> 00:07:42.080]   i tot això és vital...
[00:07:42.080 --> 00:07:44.080]   Creiem que és vital controlar-ho,
[00:07:44.080 --> 00:07:45.080]   no és que ho digui jo,
[00:07:45.080 --> 00:07:48.080]   crec que si les enxades al sector ho diu,
[00:07:48.080 --> 00:07:50.080]   i a més a més això t'ho donen aquestes aplicacions,
[00:07:50.080 --> 00:07:53.080]   aquest tipus d'alimentadors que existeixen,
[00:07:53.080 --> 00:07:55.080]   i crec que es tendirà a posar-ne, per exemple.
-.Pregunta 2.3b.-
[00:08:01.080 --> 00:08:02.080]   Això...
[00:08:02.080 --> 00:08:05.080]   Primer, ratxes bones de preu com ara,
[00:08:05.080 --> 00:08:08.080]   i llavors que el sector digui que ho puguis fer.
[00:08:08.080 --> 00:08:11.080]   Després, no som un exemple de res,
[00:08:11.080 --> 00:08:13.080]   però suposo que hi ha a vegades, com a tot arreu,
[00:08:13.080 --> 00:08:14.080]   temes de conscienciació,
[00:08:14.080 --> 00:08:16.080]   de dir "no, això tot el que s'ha fet així ja ens va bé,
[00:08:16.080 --> 00:08:19.080]   pos tira i seguim fent-ho perquè així funciona".
[00:08:19.080 --> 00:08:22.080]   Jo crec que és un error, perquè si t'ho millores,
[00:08:22.080 --> 00:08:24.080]   però jo crec que millorarà,
[00:08:24.080 --> 00:08:26.080]   que faràs més bé les coses, com tot,
[00:08:26.080 --> 00:08:29.080]   els canvis costen, però si es fan i veus resultats,
[00:08:29.080 --> 00:08:32.080]   jo crec que és positiu.
[00:08:32.080 --> 00:08:34.080]   I una mica de vegades també,
[00:08:34.080 --> 00:08:37.080]   cada cop menys, però també les explotacions petites,
[00:08:37.080 --> 00:08:40.080]   un tema de capacitat, de si es fa o no es fa,
[00:08:40.080 --> 00:08:42.080]   que hi ha gent que pot fer-ho però no ho fa,
[00:08:42.080 --> 00:08:45.080]   pel que tenim, pel que fem, no ens fa falta.
[00:08:45.080 --> 00:08:49.080]   Una mica barreja de costos i ganes de fer-ho al final.
[00:08:52.080 --> 00:08:56.080]   No, perquè no és imprescindible.
[00:08:56.080 --> 00:09:03.080]   Hi ha moltes granges que no són noves i que tenen tot aquest tipus d'avanços,
[00:09:03.080 --> 00:09:05.080]   com si diguéssim "és més fàcil fer les granges noves
[00:09:05.080 --> 00:09:07.080]   perquè ja que ho fas ho faràs nou",
[00:09:07.080 --> 00:09:09.080]   però no crec que sigui imprescindible.
-.Pregunta 3.1.-
[00:09:19.080 --> 00:09:22.080]   En petita part, sí.
[00:09:25.080 --> 00:09:29.080]   Tenim moltes activitats, el tema de proves i control dels garrins
[00:09:29.080 --> 00:09:31.080]   en la transició en si,
[00:09:31.080 --> 00:09:35.080]   perquè una persona que ho fa tot
[00:09:35.080 --> 00:09:37.080]   pot fer el que ha de fer assegut en un despatx.
[00:09:37.080 --> 00:09:39.080]   Tot és molt automàtic,
[00:09:39.080 --> 00:09:42.080]   ens comuniquem amb els proveïdors,
[00:09:42.080 --> 00:09:44.080]   ho tenim tot molt centralitzat,
[00:09:44.080 --> 00:09:46.080]   també perquè fem les proves,
[00:09:46.080 --> 00:09:49.080]   i en aquest sector sí, per exemple,
[00:09:49.080 --> 00:09:51.080]   a l'engreix el tenim molt més,
[00:09:51.080 --> 00:09:53.080]   en tota la vida, s'ha de ser a la mà,
[00:09:53.080 --> 00:09:55.080]   s'ha de ser...
[00:09:57.080 --> 00:09:59.080]   La part administrativa totalment digitalitzada,
[00:09:59.080 --> 00:10:01.080]   ara estem un full de paper,
[00:10:01.080 --> 00:10:04.080]   perquè ens deixen els albarans quan porten el pinso,
[00:10:04.080 --> 00:10:07.080]   però totes les factures les rebem aquí a l'oficina,
[00:10:07.080 --> 00:10:09.080]   o allà on correu,
[00:10:09.080 --> 00:10:12.080]   i temes de gestió les tenim totes digitalitzades,
[00:10:12.080 --> 00:10:15.080]   però utilitzem, com que ho fem aquí,
[00:10:15.080 --> 00:10:17.080]   escaneig de factures,
[00:10:17.080 --> 00:10:19.080]   assentaments automàtics,
[00:10:19.080 --> 00:10:22.080]   tot el tema administratiu ho tenim bastant...
[00:10:22.080 --> 00:10:25.080]   no perfecte, però ho tenim molt digitalitzat.
-.Pregunta 3.2.-
[00:10:32.080 --> 00:10:34.080]   Hòstia...
[00:10:34.080 --> 00:10:38.080]   Clar que sí.
[00:10:38.080 --> 00:10:41.080]   Que no estiguin digitalitzades...
[00:10:41.080 --> 00:10:47.080]   Jo crec que hi haurà un tema de...
[00:10:47.080 --> 00:10:49.080]   per exemple,
[00:10:49.080 --> 00:10:51.080]   de control,
[00:10:51.080 --> 00:10:53.080]   però no hi ha tant...
[00:10:53.080 --> 00:10:55.080]   no sé com dir-ho...
[00:10:55.080 --> 00:10:59.080]   Control del bestiar,
[00:10:59.080 --> 00:11:01.080]   hi ha moltes eines,
[00:11:01.080 --> 00:11:03.080]   hi ha mecanismes
[00:11:03.080 --> 00:11:06.080]   que et permetrien controlar molt més bé les granges
[00:11:06.080 --> 00:11:08.080]   i que no les teniu implementades.
[00:11:08.080 --> 00:11:10.080]   Per exemple, hi ha sensors de soroll
[00:11:10.080 --> 00:11:12.080]   que t'avisen si els animals estosseguen
[00:11:12.080 --> 00:11:15.080]   abans que tu els sentis, per si hi ha alguna cosa.
[00:11:15.080 --> 00:11:18.080]   Hi ha el tema d'alimentació que hem comentat,
[00:11:20.080 --> 00:11:22.080]   les càmeres, per exemple,
[00:11:22.080 --> 00:11:25.080]   que és una tonteria, però per controlar les granges.
[00:11:25.080 --> 00:11:30.080]   Temes de consums d'aigua, llum, activitat,
[00:11:30.080 --> 00:11:33.080]   que ho tenim tot amb comptadors manuals.
[00:11:33.080 --> 00:11:35.080]   Seria interessant digitalitzar-ho
[00:11:35.080 --> 00:11:37.080]   perquè el mòbil o l'ordinador
[00:11:37.080 --> 00:11:39.080]   seria el que gasta cada dia
[00:11:39.080 --> 00:11:41.080]   si perquè ha gastat tanta aigua
[00:11:41.080 --> 00:11:43.080]   o perquè hi ha la caldera encesa.
[00:11:43.080 --> 00:11:45.080]   Tot això seria interessant digitalitzar-ho.
[00:11:45.080 --> 00:11:47.080]   Jo crec que no, en el nostre cas no,
[00:11:47.080 --> 00:11:49.080]   perquè no ho sé,
[00:11:49.080 --> 00:11:51.080]   però crec que sí.
[00:11:51.080 --> 00:11:54.080]   Algunes funcionen bastant igual.
[00:11:54.080 --> 00:11:56.080]   Això seria interessant perquè tindries
[00:11:56.080 --> 00:11:59.080]   tot, no indexar tot bé al moment,
[00:11:59.080 --> 00:12:02.080]   tot aquest control que li permetria seure
[00:12:02.080 --> 00:12:04.080]   i dir "hòstia, què està passant?".
-.Pregunta 3.3a.-


[00:12:15.080 --> 00:12:17.080]   Avantatges?
[00:12:17.080 --> 00:12:21.080]   Jo crec que en aquest cas és el tema del control
[00:12:21.080 --> 00:12:23.080]   i d'optimitzar tots els procediments
[00:12:23.080 --> 00:12:25.080]   que s'intenten optimitzar de per si
[00:12:25.080 --> 00:12:26.080]   perquè ho necessites,
[00:12:26.080 --> 00:12:28.080]   però que es podrien fer molt millor.
-.Pregunta 3.3b.-
[00:12:28.080 --> 00:12:31.080]   Inconvenients? Els canvis.
[00:12:31.080 --> 00:12:34.080]   No sé, hem de ser sectors cada cop més professionalitzats,
[00:12:34.080 --> 00:12:37.080]   però sí que hi ha, pel tipus de feina,
[00:12:37.080 --> 00:12:39.080]   podria haver-hi treballadors que no estan...
[00:12:39.080 --> 00:12:41.080]   No tots són de veterinaris i enginyers
[00:12:41.080 --> 00:12:42.080]   però de bona manera, no?
[00:12:42.080 --> 00:12:43.080]   No es permet tenir ningú,
[00:12:43.080 --> 00:12:45.080]   però hi ha perfils de gent que aquestes coses
[00:12:45.080 --> 00:12:46.080]   els costen molt més,
[00:12:46.080 --> 00:12:49.080]   que si els treus la maneta per girar
[00:12:49.080 --> 00:12:52.080]   has de mirar el mòbil i els fot una mandra terrible
[00:12:52.080 --> 00:12:54.080]   per dir alguna cosa.
[00:12:54.080 --> 00:13:01.080]   I també, una mica, els costos que tenen.
[00:13:01.080 --> 00:13:04.080]   Jo crec que els costos te'ls acabes amortitzant
[00:13:04.080 --> 00:13:07.080]   més ràpid que més d'hora que tard,
[00:13:07.080 --> 00:13:11.080]   però quan et diuen "posar no sé què costa 150.000 euros"
[00:13:11.080 --> 00:13:14.080]   et fot una mandra terrible i dius "farem un altre any
[00:13:14.080 --> 00:13:16.080]   i ja passarem", no?
[00:13:16.080 --> 00:13:18.080]   Però jo crec que hi ha un tema de cost
[00:13:18.080 --> 00:13:22.080]   i que costa canviar per la gent, no?
[00:13:22.080 --> 00:13:24.080]   I m'inclou, eh?
[00:13:24.080 --> 00:13:26.080]   És un primer que costa.
[00:13:26.080 --> 00:13:28.080]   Si vols fer el teu cos d'una manera,
[00:13:28.080 --> 00:13:30.080]   costa canviar-les.
-.Pregunta 4.1.-
[00:13:38.080 --> 00:13:39.080]   Sensors de temperatura,
[00:13:39.080 --> 00:13:45.080]   sensors de moviment per temes de llums,
[00:13:48.080 --> 00:13:54.080]   Sí, bueno, si a la transició com que fem les proves,
[00:13:54.080 --> 00:13:57.080]   quan entra gent, tenim les llums automatitzades,
[00:13:57.080 --> 00:13:58.080]   per no gastar llum,
[00:13:58.080 --> 00:14:00.080]   perquè en teoria els animals els volem
[00:14:00.080 --> 00:14:02.080]   amb unes eliminacions determinades,
[00:14:02.080 --> 00:14:04.080]   però un tipus de proves que fan per l'alimentació
[00:14:04.080 --> 00:14:07.080]   no és una sobra i es tanquen quan hi passa,
[00:14:07.080 --> 00:14:10.080]   quan s'ha d'entrar.
[00:14:10.080 --> 00:14:13.080]   A la transició tenim sensors de soroll
[00:14:13.080 --> 00:14:15.080]   per temes de...
[00:14:15.080 --> 00:14:18.080]   Bueno, per si s'espatlla, bueno...
[00:14:18.080 --> 00:14:20.080]   Com que fan proves, tenim moltes proves d'aquestes
[00:14:20.080 --> 00:14:22.080]   a la transició.
[00:14:22.080 --> 00:14:26.080]   Bàsicament aquests, de temperatura, de llum i de soroll.
-.Pregunta 4.2.-
[00:14:33.080 --> 00:14:34.080]   Bueno, el de temperatura important,
[00:14:34.080 --> 00:14:35.080]   tant a l'engreix com a transició,
[00:14:35.080 --> 00:14:38.080]   per tema del benestar dels animals,
[00:14:38.080 --> 00:14:39.080]   que sí per les finestres,
[00:14:39.080 --> 00:14:41.080]   per si puguin baixar la ventilació.
[00:14:41.080 --> 00:14:47.080]   I la resta és per tema de les proves que fem.
[00:14:47.080 --> 00:14:50.080]   No sé si és important o no per ells,
[00:14:50.080 --> 00:14:53.080]   però per nosaltres, bueno, no té més complicació.
[00:14:53.080 --> 00:14:54.080]   La llum sí que va bé,
[00:14:54.080 --> 00:14:56.080]   perquè primer que no gastes,
[00:14:56.080 --> 00:14:58.080]   no te les deixes mai obertes ni tancades,
[00:14:58.080 --> 00:15:00.080]   però després, si hem d'estar amb temperatura
[00:15:00.080 --> 00:15:02.080]   als garrins,
[00:15:02.080 --> 00:15:05.080]   i el garrí el considera que sí,
[00:15:05.080 --> 00:15:07.080]   doncs perfecte.
-.Pregunta 4.3.-
[00:15:12.080 --> 00:15:14.080]   Si les analitzen, no ho sé.
[00:15:14.080 --> 00:15:17.080]   Bueno, ells fan proves amb alimentació
[00:15:17.080 --> 00:15:20.080]   i entenc que segur que les analitzen.
[00:15:22.080 --> 00:15:23.080]   No, no, ens donen,
[00:15:23.080 --> 00:15:26.080]   nosaltres sabem les proves que faran.
[00:15:26.080 --> 00:15:27.080]   Provarem, no sé,
[00:15:27.080 --> 00:15:29.080]   donar-los iogurt als garrins.
[00:15:29.080 --> 00:15:33.080]   I controlem baixes per un tema de costos,
[00:15:33.080 --> 00:15:35.080]   per si hi ha menys baixes o menys
[00:15:35.080 --> 00:15:36.080]   amb una alimentació normal,
[00:15:36.080 --> 00:15:39.080]   si fem grups de prova i grups de control.
[00:15:39.080 --> 00:15:40.080]   I ja està.
[00:15:44.080 --> 00:15:45.080]   Sí, sí, sí.
-.Pregunta 5.1.-
[00:15:57.080 --> 00:16:00.080]   No, ara recent no.
[00:16:00.080 --> 00:16:03.080]   Tot el que tenim ho tenim des de fa algun temps.
-.Pregunta 5.2.-
[00:16:03.080 --> 00:16:06.080]   I ara canviarem, bueno,
[00:16:06.080 --> 00:16:07.080]   tenim un projecte,
[00:16:07.080 --> 00:16:08.080]   tenim pensat canviar els alimentadors
[00:16:08.080 --> 00:16:10.080]   que siguin automàtics, això sí.
[00:16:10.080 --> 00:16:11.080]   Els engreixos també.
[00:16:11.080 --> 00:16:13.080]   És el pròxim que volem fer.
[00:16:13.080 --> 00:16:14.080]   Sí, és el pròxim que volem fer.
[00:16:14.080 --> 00:16:16.080]   Que mengin a determinades hores
[00:16:16.080 --> 00:16:18.080]   i l'aigua igual.
[00:16:18.080 --> 00:16:21.080]   Per apujar, que s'han d'acostar
[00:16:21.080 --> 00:16:23.080]   per controlar el consum,
[00:16:23.080 --> 00:16:25.080]   que no malgastin.
[00:16:25.080 --> 00:16:27.080]   Ara tenim uns abeuradors
[00:16:27.080 --> 00:16:28.080]   i el menjar que va,
[00:16:28.080 --> 00:16:30.080]   és un bicenfí que va omplint,
[00:16:30.080 --> 00:16:31.080]   que funciona així,
[00:16:31.080 --> 00:16:32.080]   i amb l'aigua, per exemple,
[00:16:32.080 --> 00:16:33.080]   quan fa calor,
[00:16:33.080 --> 00:16:36.080]   és un malgast d'aigua collonada.
[00:16:36.080 --> 00:16:38.080]   I ara en volem posar uns
[00:16:38.080 --> 00:16:39.080]   que els abeuradors,
[00:16:39.080 --> 00:16:41.080]   que quan s'hi acosten,
[00:16:41.080 --> 00:16:43.080]   són més petits,
[00:16:43.080 --> 00:16:44.080]   bueno, t'hauria gastat menys,
[00:16:44.080 --> 00:16:45.080]   perquè s'han de ficar,
[00:16:45.080 --> 00:16:47.080]   és una mica més complicat de gastar aigua,
[00:16:47.080 --> 00:16:49.080]   i l'alimentació, controlar-la per,
[00:16:49.080 --> 00:16:50.080]   per exemple, quan fa calor,
[00:16:50.080 --> 00:16:52.080]   que surti a menjar a la nit, per exemple,
[00:16:52.080 --> 00:16:53.080]   que és quan sabem que menja.
[00:16:53.080 --> 00:16:55.080]   Llavors, són programables,
[00:16:55.080 --> 00:16:57.080]   van amb aplicació,
[00:16:57.080 --> 00:17:03.080]   saps si queda menjar o no a la cassoleta,
[00:17:03.080 --> 00:17:04.080]   llavors saps una mica,
[00:17:04.080 --> 00:17:06.080]   pots controlar una mica l'alimentació.
[00:17:06.080 --> 00:17:09.080]   Ho tenim previst fer-ho, canviar-ho.
[00:17:09.080 --> 00:17:11.080]   No sé quan, però ho hem de,
[00:17:11.080 --> 00:17:12.080]   tenim pressupostos demanats,
[00:17:12.080 --> 00:17:14.080]   i estem mirant, sí.
-.Pregunta 5.3.-
[00:17:21.080 --> 00:17:24.080]   No ho sé, no, això no.
[00:17:25.080 --> 00:17:26.080]   No.
-.Pregunta 6.1.-
[00:17:38.080 --> 00:17:41.080]   Com a altres, ara criteris de,
[00:17:41.080 --> 00:17:42.080]   el més important d'eficiència,
[00:17:42.080 --> 00:17:44.080]   si som els màxims eficients possibles,
[00:17:44.080 --> 00:17:46.080]   criteris de benestar,
[00:17:46.080 --> 00:17:49.080]   primer per ètica,
[00:17:49.080 --> 00:17:51.080]   i després per què t'ho exigeixen,
[00:17:51.080 --> 00:17:52.080]   per què,
[00:17:52.080 --> 00:17:54.080]   no hi ha legislació perquè ho complim,
[00:17:54.080 --> 00:17:56.080]   però sí que, per exemple,
[00:17:56.080 --> 00:17:58.080]   cada cop els escorxadors demanaran etiquetes de
[00:17:58.080 --> 00:18:00.080]   benestar animal,
[00:18:00.080 --> 00:18:02.080]   cada cop són exigències que
[00:18:02.080 --> 00:18:04.080]   passen del que és el mínim,
[00:18:04.080 --> 00:18:06.080]   però si t'ho demanen hi has de ser,
[00:18:06.080 --> 00:18:09.080]   i entenem que hem de ser.
[00:18:09.080 --> 00:18:13.080]   I llavors, hi ha temes de,
[00:18:13.080 --> 00:18:14.080]   jo crec que,
[00:18:14.080 --> 00:18:15.080]   bé, ves a parlar de l'eficiència,
[00:18:15.080 --> 00:18:16.080]   que és un tema de costos.
[00:18:16.080 --> 00:18:19.080]   Tots aquests canvis els fem per reduir costos.
[00:18:19.080 --> 00:18:21.080]   O sigui que és un tema econòmic també.
[00:18:21.080 --> 00:18:24.080]   Qui veiem benefici en fer aquests canvis,
[00:18:24.080 --> 00:18:27.080]   no és perquè ens piquen per canviar col·laboradors,
[00:18:27.080 --> 00:18:28.080]   vull dir,
[00:18:28.080 --> 00:18:30.080]   o sigui, és perquè,
[00:18:30.080 --> 00:18:33.080]   si utilitzem criteris d'eficiència
[00:18:33.080 --> 00:18:35.080]   pels animals, hi ha eficiència econòmica.
[00:18:35.080 --> 00:18:37.080]   I hi són, de fet.
[00:18:37.080 --> 00:18:40.080]   Ho tenim mirat, o sigui, hi són.
-.Pregunta 6.2a.-
[00:18:46.080 --> 00:18:50.080]   Bé, és clar, jo porto bàsicament,
[00:18:50.080 --> 00:18:52.080]   si nosaltres ho tenim separat,
[00:18:52.080 --> 00:18:54.080]   ho tenim amb un soci que és el que treballa a la granja,
[00:18:54.080 --> 00:18:58.080]   nosaltres portem la part administrativa i de gestió,
[00:18:58.080 --> 00:19:01.080]   i és una mica, són decisions bastant encomunades,
[00:19:01.080 --> 00:19:04.080]   d'alguna manera, perquè ell coneix les necessitats
[00:19:04.080 --> 00:19:07.080]   més del dia a dia,
[00:19:07.080 --> 00:19:09.080]   més de la granja de l'explotació,
[00:19:09.080 --> 00:19:13.080]   i nosaltres coneixem més el tema de estadístiques,
[00:19:13.080 --> 00:19:16.080]   de costos, de normatives,
[00:19:16.080 --> 00:19:19.080]   i de com una mica la visió més per sobre,
[00:19:19.080 --> 00:19:22.080]   que no tant de llocs, canviar el que sigui,
[00:19:22.080 --> 00:19:25.080]   es fa de forma conjunta.
[00:19:25.080 --> 00:19:27.080]   És a dir, una mica els dos suportem feines diferents,
[00:19:27.080 --> 00:19:30.080]   però les decisions sí que les prenem bé.
[00:19:30.080 --> 00:19:33.080]   Bé, no sé si prefereixo això per ell,
[00:19:33.080 --> 00:19:36.080]   però si s'ha de canviar de companyia d'assegurança,
[00:19:36.080 --> 00:19:39.080]   si no, ho fem nosaltres,
[00:19:39.080 --> 00:19:42.080]   perquè ens fa millor pel nostre dia a dia,
[00:19:42.080 --> 00:19:44.080]   el problema és aquest tipus de decisió.
[00:19:46.080 --> 00:19:49.080]   Aquest tipus de decisions sí, però si hem de fer inversions,
[00:19:49.080 --> 00:19:51.080]   hem de fer canvis importants,
[00:19:51.080 --> 00:19:54.080]   això són decisions conjuntes.
-.Pregunta 6.2b.-
[00:20:04.080 --> 00:20:07.080]   Nosaltres som socis d'Agrocat,
[00:20:07.080 --> 00:20:09.080]   de la cooperativa d'Agrocat,
[00:20:09.080 --> 00:20:11.080]   i llavors bàsicament ens assessorem a través d'Agrocat,
[00:20:11.080 --> 00:20:13.080]   amb els enginyers que tenen,
[00:20:13.080 --> 00:20:16.080]   i sí, fem servir Agrocat
[00:20:16.080 --> 00:20:19.080]   per una mica saber els canvis que existeixen,
[00:20:19.080 --> 00:20:22.080]   i si són eficients, si ja els han fet proves,
[00:20:22.080 --> 00:20:25.080]   i ens recolzem bastant amb ells.
