-.Pregunta 1.1.-
[00:01:55.800 --> 00:02:03.280]   -Producció porcina.
[00:12:08.640 --> 00:12:11.640]   que hi ha moltes vegades depens de gent,
[00:12:11.640 --> 00:12:14.640]   i les màquines, el bo que tenen és això,
[00:12:14.640 --> 00:12:17.640]   que estan les 24 hores atentes".
[00:12:20.640 --> 00:12:23.640]   -I llavors, que avui en dia,
[00:12:23.640 --> 00:12:26.640]   els costos van baixant molt, del tema aquest.
[00:12:26.640 --> 00:12:29.640]   Que cada vegada, vull dir, no cal moltes vegades
[00:12:29.640 --> 00:12:32.640]   cablejar a les granges, perquè avui en dia,
[00:12:32.640 --> 00:12:35.640]   amb wifi s'han de mantenir repetidors.
[00:12:35.640 --> 00:12:38.640]   Pots fer moltes cosetes, vull dir,
[00:12:38.640 --> 00:12:42.640]   un porter automàtic per veure quines visites entren...
[00:12:42.640 --> 00:12:46.640]   No ho sé, pots fer molts controls.
[00:12:48.640 --> 00:12:52.640]   -Jo, per exemple, a la granja de mares, ja ho tenim tot amb càmeres,
[00:12:52.640 --> 00:12:54.640]   a la transició també.
[00:12:58.640 --> 00:13:02.640]   -I en alertes de quan entra algú, quan detecta moviment,
[00:13:02.640 --> 00:13:06.640]   dels vehicles que entren, si graven tot, les matrícules, tot.
-.Pregunta 3.3b.-
[00:13:15.640 --> 00:13:20.640]   -Jo penso que estan ja, a dia d'avui.
[00:13:22.640 --> 00:13:26.640]   -Sí, bé, que estan, potser no desenvolupades del tot,
[00:13:26.640 --> 00:13:30.640]   però que a nivell d’aparells existeixen, saps?
[00:13:53.640 --> 00:13:59.640]   -A veure, jo no sé si tinc sort, perquè tinc un germà que es dedica a això.
[00:14:01.640 --> 00:14:08.640]   -I ell no està a l'empresa, és d'una empresa que es dedica a instal·lació de regs,
[00:14:08.640 --> 00:14:12.640]   lo que es en termes de comunicació de vàlvules, de comunitats grans.
[00:14:14.640 --> 00:14:18.640]   -Aleshores, jo, quan tinc una idea, sempre l'hi proposo a ell,
[00:14:18.640 --> 00:14:21.640]   i aquest tema ja el conec.
[00:14:23.640 --> 00:14:27.640]   -Vull que em busquis un programa que em faci això.
[00:14:29.640 --> 00:14:33.640]   -Perquè jo tinc la sort de tenir-lo a ell, que en seguida es resol,
[00:14:33.640 --> 00:14:36.640]   perquè ell està cada dia tocant coses d'això.
[00:14:38.640 --> 00:14:43.640]   -I potser hi ha empreses que no tenen un contacte directe amb gent.
[00:14:45.640 --> 00:14:48.640]   -Fins ara, tot el que li he dit m'ha muntat.
[00:15:00.640 --> 00:15:04.640]   -I normalment me fa un cost molt, molt més baix.
[00:15:06.640 --> 00:15:11.640]   -Però que entenc que si alguna empresa desenvolupa alguna cosa,
[00:15:11.640 --> 00:15:15.640]   voldrà, avui dia jo sé que tot és molt car.
[00:15:15.640 --> 00:15:19.640]   Desplaçaments, errors d'un operari tècnic.
[00:15:21.640 --> 00:15:24.640]   -I tant, realment, si han de valorar realment què val
[00:15:24.640 --> 00:15:26.640]   la implantació d'alguna cosa d'això.
[00:15:27.640 --> 00:15:28.640]   -És car.
[00:15:29.640 --> 00:15:32.640]   -Però cada vegada veig que les empreses són més grans.
[00:15:33.640 --> 00:15:35.640]   -Sobretot les integradores.
[00:15:36.640 --> 00:15:39.640]   -I al final, les hem de col·locar coses d'aquestes
[00:15:39.640 --> 00:15:41.640]   i recau sobre moltes unitats.
[00:15:42.640 --> 00:15:44.640]   -A la vegada, perquè no és tan car.
[00:15:47.640 --> 00:15:50.640]   -Jo crec que hi ha un retorn molt alt.
-.Pregunta 3.4.-
[00:15:59.640 --> 00:16:00.640]   -Sí.
[00:16:00.640 --> 00:16:02.640]   -Jo, com a entre ell i...
[00:16:02.640 --> 00:16:05.640]   Ara, per exemple, el sector estem vivint en una època...
[00:16:06.640 --> 00:16:09.640]   -...que, sanitàriament, se va molt malament.
[00:16:10.640 --> 00:16:15.640]   -Parlàvem de dades de cinc consultors,
[00:16:15.640 --> 00:16:17.640]   dels que porten els costos.
[00:16:18.640 --> 00:16:21.640]   -Vull dir, que no sé si parlem més d'un 15%
[00:16:21.640 --> 00:16:23.640]   entre transicions i engreixos.
[00:16:24.640 --> 00:16:25.640]   -I mortalitat.
[00:16:26.640 --> 00:16:29.640]   -Que és més del doble de fa dos anys.
[00:16:30.640 --> 00:16:33.640]   -Això es deu una mica a desmedicalització
[00:16:33.640 --> 00:16:35.640]   i a diverses coses.
[00:16:36.640 --> 00:16:38.640]   -Però el sector és molt clar,
[00:16:38.640 --> 00:16:41.640]   que també hi ha un tema molt clar de bioseguretat.
[00:16:44.640 --> 00:16:45.640]   -Massa bé les coses.
[00:16:46.640 --> 00:16:49.640]   -Llavors, jo crec que totes aquestes eines
[00:16:49.640 --> 00:16:51.640]   ens ajuden a saber...
[00:16:51.640 --> 00:16:53.640]   A veure, com t'ho diria?
[00:16:53.640 --> 00:16:56.640]   T'he dit que en una granja de 3.000 truges...
[00:16:57.640 --> 00:17:00.640]   -Si hi ha una Rosalia, un PRRS d'aquestes...
[00:17:01.640 --> 00:17:04.640]   -Potser la pèrdua econòmica anual pot ser
[00:17:04.640 --> 00:17:07.640]   d'un ventre de més de mig milió d'euros.
[00:17:08.640 --> 00:17:10.640]   -Moltes coses hauries de ficar
[00:17:10.640 --> 00:17:13.640]   per arribar a gastar mig milió d'euros
[00:17:13.640 --> 00:17:15.640]   en càmeres, sensors...
[00:17:17.640 --> 00:17:19.640]   -Que a més a més...
[00:17:19.640 --> 00:17:22.640]   Jo veig un retorn molt gran.
[00:17:22.640 --> 00:17:23.640]   -Val.
[00:17:24.640 --> 00:17:25.640]   -Molt gran.
[00:17:46.640 --> 00:17:48.640]   -Jo et diria...
[00:17:48.640 --> 00:17:50.640]   Sobretot són a les fires,
[00:17:50.640 --> 00:17:52.640]   és on veus una mica la implantació
[00:17:52.640 --> 00:17:54.640]   o no implantació.
[00:17:54.640 --> 00:17:56.640]   Diferents cases que es dediquen a això
[00:17:56.640 --> 00:17:58.640]   et poden presentar algun projecte.
[00:17:59.640 --> 00:18:01.640]   -Però si tens alguna visita comercial...
[00:18:02.640 --> 00:18:05.640]   -És a dir, per exemple, et dic l'home d'una empresa,
[00:18:05.640 --> 00:18:06.640]   per exemple, CTI.
[00:18:14.640 --> 00:18:17.640]   -És una empresa que desenvolupa molts software
[00:18:17.640 --> 00:18:20.640]   de pollastres, de control ambiental i així.
[00:18:20.640 --> 00:18:21.640]   -Ah.
[00:18:21.640 --> 00:18:23.640]   -Però també han fet eines
[00:18:23.640 --> 00:18:25.640]   de grans i intel·ligents.
[00:18:26.640 --> 00:18:29.640]   -Probablement són gent que es dedica una mica
[00:18:29.640 --> 00:18:31.640]   o gent de programes informàtics.
[00:18:32.640 --> 00:18:36.640]   -És a dir, que també desenvolupen coses d'aquest tipus.
[00:18:37.640 --> 00:18:40.640]   -A xerrades a vegades t'ho presenten.
[00:18:41.640 --> 00:18:43.640]   -A xerrades del sector.
[00:18:44.640 --> 00:18:48.640]   -Vas a  algun col·loqui d'aquests i potser a les altres xerrades
[00:18:48.640 --> 00:18:50.640]   una és de... pots apuntar.
[00:18:51.640 --> 00:18:54.640]   -A vegades a les universitats també fan feu coses.
[00:18:54.640 --> 00:18:55.640]   -Sí.
[00:18:55.640 --> 00:18:56.640]   -De tallers.
[00:19:05.640 --> 00:19:07.640]   -Bueno, ell més el revés.
[00:19:07.640 --> 00:19:08.640]   -Ah.
[00:19:08.640 --> 00:19:10.640]   -És a dir, ell és al revés.
[00:19:10.640 --> 00:19:13.640]   Ell té la part tecnològica i tu l'expliques.
[00:19:13.640 --> 00:19:16.640]   Mira, aquest sector és així i jo necessitaria això.
[00:19:17.640 --> 00:19:18.640]   -Com un perill.
[00:19:23.640 --> 00:19:26.640]   -Jo em penso que els altres ja ho han desenvolupat
[00:19:26.640 --> 00:19:27.640]   coneixent el sector.
[00:19:28.640 --> 00:19:29.640]   -Ja.
[00:19:29.640 --> 00:19:31.640]   Quan t'ofereixen alguna cosa.
[00:19:32.640 --> 00:19:35.640]   -El que passa és que el que deies abans,
[00:19:35.640 --> 00:19:39.640]   per exemple, el CTI planteja quina era la inversió en una granja en concret 
[00:19:39.640 --> 00:19:41.640]   per ficar sitges, cèl·lules a les sitges i tal.
[00:19:42.640 --> 00:19:45.640]   -Quan mires el cost d'allò i dius, buf, molt car.
[00:19:46.640 --> 00:19:49.640]   -Molt car perquè s'ho cobren, saps?
[00:19:51.640 --> 00:19:53.640]   -És normal, ho han desenvolupat.
[00:20:02.640 --> 00:20:05.640]   -Hi ha els dos tipus.
[00:20:06.640 --> 00:20:08.640]   -Hi ha els dos tipus.
[00:20:08.640 --> 00:20:12.640]   Que jo entenc que normalment millor és el de subscripció.
[00:20:13.640 --> 00:20:16.640]   -Jo entenc que és més barat l'altre, eh?
[00:20:16.640 --> 00:20:20.640]   Però jo moltes vegades quan estem en programes informàtics
[00:20:20.640 --> 00:20:23.640]   i entens que et passen una anualitat,
[00:20:23.640 --> 00:20:25.640]   que tampoc és molt cara, eh?
[00:20:26.640 --> 00:20:29.640]   -Però tu entens que ells estan contínuament
[00:20:29.640 --> 00:20:31.640]   tenint allò renovat.
[00:20:32.640 --> 00:20:35.640]   -Perquè els sistemes operatius canvien,
[00:20:35.640 --> 00:20:38.640]   no és fàcil donar...
[00:20:38.640 --> 00:20:42.640]   Una eina avui en dia es queda obsoleta amb el temps.
[00:20:47.640 --> 00:20:48.640]   -Exacte.
[00:20:49.640 --> 00:20:55.640]   -Jo entenc que és un cànon que pagues per l'actualització contínua.
-.Pregunta 4.1.-
[00:21:21.640 --> 00:21:23.640]   -En principi, molt poquets.
[00:21:24.640 --> 00:21:27.640]   -Bàsicament es basen en temperatura.
[00:21:28.640 --> 00:21:30.640]   -Pot haver sensors de moviment,
[00:21:30.640 --> 00:21:35.640]   que és el que t’he dit a nivell d'entrada i sortida de persones o vehicles.
[00:21:37.640 --> 00:21:42.640]   El que passa és que aquí se pot desenvolupar moltes coses,
[00:21:42.640 --> 00:21:45.640]   vull dir, el que hem dit de les sitges,
[00:21:45.640 --> 00:21:49.640]   que pot ser a les potes, jo sé que n'hi ha volumètrics.
[00:21:50.640 --> 00:21:54.640]   -Perquè hi ha més dubte de la fiabilitat del volumètric.
[00:22:00.640 --> 00:22:03.640]   -I després, no sé, a nivell d'aigua, vull dir,
[00:22:03.640 --> 00:22:07.640]   jo sé que hi ha gent que té els comptadors d'aigua digitalitzats
[00:22:07.640 --> 00:22:10.640]   i pot arribar també a lectures diàries.
[00:22:11.640 --> 00:22:12.640]   -Lectures de llum.
[00:22:13.640 --> 00:22:15.640]   -I de consum.
[00:22:17.640 --> 00:22:21.640]   -Hi ha gent que pot tindre el que és qualitats d'aigua,
[00:22:21.640 --> 00:22:24.640]   tindre algun sensor per saber, jo que sé,
[00:22:24.640 --> 00:22:28.640]   que de sobte no s'està dosificant o l'àcid o...
[00:22:29.640 --> 00:22:31.640]   -O lectures de flor.
-.Pregunta 4.2.-
[00:22:49.640 --> 00:22:53.640]   -A veure, quasi ho hauríem de separar una mica,
[00:22:53.640 --> 00:22:55.640]   vull dir, entre cometes.
[00:22:55.640 --> 00:22:59.640]   Per exemple, si jo penso només en el pinso,
[00:22:59.640 --> 00:23:04.640]   vull dir, a mi m'aniria molt bé anar monitoritzant
[00:23:04.640 --> 00:23:08.640]   el que hi ha sobretot per logística de dipòsits. 
[00:23:09.640 --> 00:23:12.640]   -Per no córrer on no s'ha de córrer.
[00:23:13.640 --> 00:23:17.640]   -I moltes vegades penses, vull dir,
[00:23:17.640 --> 00:23:22.640]   si hi hagués la capacitat de llegir el pes de l'animal
[00:23:22.640 --> 00:23:23.640]   o l'evolució,
[00:23:23.640 --> 00:23:27.640]   perquè avui en dia jo sé que hi han sortit diverses càmeres
[00:23:27.640 --> 00:23:28.640]   o que...
[00:23:29.640 --> 00:23:32.640]   -No se sap fins a quin punt encerten o no.
[00:23:33.640 --> 00:23:37.640]   -Però podries arribar a saber les conversions
[00:23:37.640 --> 00:23:39.640]   i el creixement diari,
[00:23:39.640 --> 00:23:41.640]   saps que et vull una mica...
[00:23:42.640 --> 00:23:44.640]   -L'evolució de la piràmide
[00:23:44.640 --> 00:23:48.640]   o tindries sensors de saber quan hi ha animals per treure.
[00:23:56.640 --> 00:23:59.640]   -Jo t'explico coses una mica per sobre de dir...
[00:23:59.640 --> 00:24:03.640]   Jo alguna vegada, perquè jo sé que a altres països,
[00:24:04.640 --> 00:24:06.640]   - el pinso no demanar al granger,
[00:24:06.640 --> 00:24:10.640]   sinó és la pròpia integradora la que el porta a la granja.
[00:24:13.640 --> 00:24:15.640]   -Sobretot de països de l'est.
[00:24:16.640 --> 00:24:18.640]   -On hi havia molt robatori de pinso.
[00:24:21.640 --> 00:24:23.640]   -I allà van acabar ficant sensors...
[00:24:24.640 --> 00:24:26.640]   -...de camions com a tal,
[00:24:26.640 --> 00:24:29.640]   per saber que realment arriba a granja el que s'havia...
[00:24:30.640 --> 00:24:31.640]   -...enviat.
[00:24:31.640 --> 00:24:33.640]   I que llavors no hi havia una subtracció, saps?
[00:24:34.640 --> 00:24:36.640]   -Però t'ho dic perquè dic...
[00:24:36.640 --> 00:24:39.640]   L'índex de conversió és molt variable.
[00:24:40.640 --> 00:24:41.640]   -Molt, entén-me.
[00:24:41.640 --> 00:24:44.640]   Hi ha un rang entre els millors i els pitjors.
[00:24:45.640 --> 00:24:47.640]   -Però que, per exemple, hi ha un engreix de 2.000 porcs
[00:24:47.640 --> 00:24:50.640]   vol dir que hi ha dos o tres dipòsits més de pinso durant l’engreix.
[00:24:51.640 --> 00:24:54.640]   -Llavors, si jo volgués...
[00:24:54.640 --> 00:24:58.640]   enviar les dipòsits sense saber el pinso que tinc allà real...
[00:24:59.640 --> 00:25:00.640]   Sense...
[00:25:00.640 --> 00:25:02.640]   Me podria trobar algun dia que està ple.
[00:25:03.640 --> 00:25:04.640]   -A les bones.
[00:25:04.640 --> 00:25:06.640]   I en alguna que em quedo curt.
[00:25:07.640 --> 00:25:08.640]   -Perquè dic...
[00:25:08.640 --> 00:25:10.640]   A vegades, els porcs quan se fiquen malalts...
[00:25:11.640 --> 00:25:12.640]   -No mengen.
[00:25:13.640 --> 00:25:15.640]   -Clar, vull dir, moltes vegades penso...
[00:25:15.640 --> 00:25:18.640]   Has de tenir un sensor real de dir...
[00:25:18.640 --> 00:25:22.640]   a la sitja per saber realment l'evolució real del...
[00:25:23.640 --> 00:25:24.640]   -Del pinso.
[00:25:24.640 --> 00:25:25.640]   Això, per exemple,
[00:25:25.640 --> 00:25:28.640]   et pot ajudar a saber com són les comandes.
[00:25:31.640 --> 00:25:34.640]   -El que passa és que no t'està donant informació
[00:25:34.640 --> 00:25:38.640]   de després de què està passant dins amb els animals.
[00:25:40.640 --> 00:25:43.640]   -Perquè tu pots fer unes taules d'estàndards
[00:25:43.640 --> 00:25:45.640]   de saber més o menys per pinso consumit...
[00:25:46.640 --> 00:25:48.640]   -Com deuen d'estar dins,
[00:25:48.640 --> 00:25:50.640]   que és el que a dia d'avui fem.
[00:25:51.640 --> 00:25:53.640]   -El que passa en la realitat
[00:25:53.640 --> 00:25:56.640]   és que allò són mitjanes.
[00:25:57.640 --> 00:26:00.640]   -I no pots avaluar d'una forma fiable
[00:26:00.640 --> 00:26:03.640]   si no tens un sensor que sàpigues
[00:26:03.640 --> 00:26:05.640]   l'evolució de l'animal.
[00:26:06.640 --> 00:26:09.640]   -I després que tota aquesta informació
[00:26:09.640 --> 00:26:13.640]   t'ensenya molt a millorar.
[00:26:14.640 --> 00:26:17.640]   -I ho dic en el sentit de dir...
[00:26:17.640 --> 00:26:19.640]   Jo, per exemple,
[00:26:19.640 --> 00:26:25.640]   tinc eines per fer una mica d'investigació.
[00:26:25.640 --> 00:26:30.640]   A vegades mostrem diferents tipus de semen de finalitzadors
[00:26:30.640 --> 00:26:32.640]   i modelitzem els animals
[00:26:32.640 --> 00:26:35.640]   per saber quines diferències de creixement,
[00:26:35.640 --> 00:26:36.640]   de conversió.
[00:26:37.640 --> 00:26:39.640]   -Llavors el que tinc és un carro,
[00:26:39.640 --> 00:26:41.640]   un remolc amb bascula.
[00:26:42.640 --> 00:26:44.640]   -Que el porto a les granges.
[00:26:45.640 --> 00:26:46.640]   -Llavors fem...
[00:26:46.640 --> 00:26:49.640]   La unitat de la investigació és la quadra.
[00:26:50.640 --> 00:26:52.640]   -I llavors tinc unes vagonetes
[00:26:52.640 --> 00:26:54.640]   que les omplim de pinso
[00:26:54.640 --> 00:26:56.640]   i porten sensors.
[00:26:56.640 --> 00:26:59.640]   I cada dia emplenes la tolva fins a dalt.
[00:26:59.640 --> 00:27:02.640]   Llavors la diferència és el consum diari.
[00:27:03.640 --> 00:27:06.640]   -Val, llavors tu vas fent períodes.
[00:27:06.640 --> 00:27:08.640]   Períodes setmanals...
[00:27:09.640 --> 00:27:11.640]   -Llavors com que tens el pes de l'animal
[00:27:11.640 --> 00:27:13.640]   i tens el pinso consumim...
[00:27:17.640 --> 00:27:20.640]   Llavors vas veient moltes coses.
[00:27:20.640 --> 00:27:23.640]   Quan arriben a una edat molt adulta,
[00:27:23.640 --> 00:27:24.640]   per exemple,
[00:27:24.640 --> 00:27:27.640]   i hi ha molta densitat al corral,
[00:27:27.640 --> 00:27:31.640]   les conversions s'empitjoren molt.?
[00:27:35.640 --> 00:27:36.640]   -Sí.
[00:27:36.640 --> 00:27:38.640]   I després,
[00:27:38.640 --> 00:27:41.640]   quan tu li comences a carregar,
[00:27:41.640 --> 00:27:45.640]   comencen a millorar altra volta molt, molt, molt.
[00:27:46.640 --> 00:27:47.640]   -Així.
[00:27:48.640 --> 00:27:50.640]   -I sempre m'havien dit que el porc
[00:27:50.640 --> 00:27:52.640]   com més gran se fa,
[00:27:52.640 --> 00:27:53.640]   millor converteix.
[00:27:54.640 --> 00:27:56.640]   -D'aquí es trenca la teoria.
[00:27:57.640 --> 00:27:58.640]   -Perquè ara és més gran el porc
[00:27:58.640 --> 00:28:00.640]   i torna a convertir bé.
[00:28:00.640 --> 00:28:02.640]   -Doncs hi ha factors.
[00:28:02.640 --> 00:28:04.640]   Ficar aquest exemple,
[00:28:04.640 --> 00:28:06.640]   perquè a vegades coneixent tot això,
[00:28:06.640 --> 00:28:09.640]   pots aplicar algun maneig
[00:28:09.640 --> 00:28:13.640]   que minimitzi aquest prejudici,
[00:28:13.640 --> 00:28:16.640]   perquè coneixes quins són els punts,
[00:28:16.640 --> 00:28:18.640]   els moments...
[00:28:40.640 --> 00:28:42.640]   -Clar, vull dir tot.
[00:28:42.640 --> 00:28:44.640]   Tots aquests processos, vull dir,
[00:28:44.640 --> 00:28:46.640]   no hi ha cas de gran
[00:28:46.640 --> 00:28:48.640]   si llavors ho estudia,
[00:28:48.640 --> 00:28:50.640]   pot treure molt, no sé...
-.Pregunta 5.1.-
[00:29:19.640 --> 00:29:22.640]   -Sí, ara ja fa molts dies que no ho fem.
[00:29:22.640 --> 00:29:24.640]   El que estem fent normalment
[00:29:24.640 --> 00:29:26.640]   és l'actualització.
[00:29:26.640 --> 00:29:28.640]   Per exemple, he de dir...
[00:29:28.640 --> 00:29:30.640]   Ara hi haurà de canvi.
[00:29:30.640 --> 00:29:32.640]   Tenim un centre dispensador
[00:29:32.640 --> 00:29:34.640]   de medicaments, altres,
[00:29:34.640 --> 00:29:36.640]   i han canviat tot
[00:29:36.640 --> 00:29:38.640]   el que és la normativa
[00:29:38.640 --> 00:29:40.640]   dels camps i la informació
[00:29:40.640 --> 00:29:42.640]   que ha de sortir
[00:29:42.640 --> 00:29:44.640]   per poder comercialitzar...
[00:29:44.640 --> 00:29:46.640]   per poder vendre.
[00:29:46.640 --> 00:29:48.640]   Vull dir...
[00:29:48.640 --> 00:29:50.640]   Cada vegada demanem més dades.
[00:29:54.640 --> 00:29:56.640]   Lo bo es que com que està tot molt informatitzat,
[00:29:56.640 --> 00:29:58.640]   tu la dada la tens.
[00:29:58.640 --> 00:30:00.640]   L'únic que he de dir a l'informàtic
[00:30:00.640 --> 00:30:02.640]   és que fica’m-ho així
[00:30:02.640 --> 00:30:04.640]   o que em faci aquest informe
[00:30:04.640 --> 00:30:06.640]   que abans no ho demanàvem.
[00:30:06.640 --> 00:30:08.640]   Són les actualitzacions.
